url,exterior,interior,diegetic,melodic,intense,mood (0-10),description
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/101837__stereodivo__tex-room-tv-ambience.mp3,,true ,true ,false,4,4,"room ambience, distant voices"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/104320__proxima4__desert-simple.mp3,true , ,true ,false,8,8,desert winds
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/138288__kangaroovindaloo__desert-at-night.mp3,true , ,true ,false,6,6,birds chirping and wind
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/15851__laurent__natural-night-sounds-in-boquete.mp3,true , ,true ,false,7,7,birds at night
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/172461__setuniman__tripping-0x52p.mp3,true ,true ,false ,true,7,7,"classic piano, solemn"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/181697__setuniman__ominous-0z19p+2.mp3,true ,true ,false ,true,7,7,"classic piano, solemn"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/184565__magnus589__computer-fan+(1).mp3,,true ,true ,false,10,5,computer fan
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/275553__mbezzola__fassdrone.mp3,true,true ,true ,false,8,8,sad drone
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/30306__erh__tension.mp3,true,true ,false ,true,8,8,intense tension rising
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/349689__thaighaudio__070916-machine-room-server-rack-fans-3.mp3,,true ,true ,false,6,4,monotone server noise
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/42761__decembered__lucid-drone.mp3,true,true ,true ,false,7,7,shrill drone
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/MAJOR.mp3,true,true ,false ,true,7,9,sad piano
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/Les_Cartes_Postales_Sonores_-_09_-_Wooden_Cow_Bells.mp3,true ,,true ,false,7,8,"pastoral noises (cars, cows bells, animals, mumbling)"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/The_Conet_Project_-_23_-_unidentified_chinese_station.mp3,,true,false ,false,7,8,radio noise chinese woman talking (repetitive)
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/The_Conet_Project_-_42_-_high_pitch_polytone.mp3,,true,false ,false,9,7,high pitch polytone
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/Voice+002_sd.m4a,true   ,,true   ,true,7,8,"city ambience (person walking, wind blowing, someone playing an guitar/sitar)"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/beep.mp3,true   ,,true   ,false,7,7,"city ambience, talking and beeps"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/china1.mp3,true   ,,true    ,false,8,8,"street ambience, voices"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/city.mp3,true   ,,true   ,false,6,5,city ambience
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/clock.mp3,,true,true   ,false,6,6,ticking clock and room ambience
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/fan2.mp3,true,,false   ,false,6,6,whirring fan noises
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/fireworks1.mp3,true    ,,true   ,false,5,5,distant fireworks
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/rain.mp3,true   ,,true   ,false,false,7,rain
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/shortpiano.mp3,true,true,false ,true,true,8,melancolic piano music
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/250542__jhumbucker__suspense-motif.mp3,true,true,true,false,false,8,"suspense, single high tone"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/130982__reacthor__drone-of-suspense.mp3,true,true,true,false,false,8,drone of suspense
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/144981__are16ocean__suspense-ambience.mp3,true,true,true,false,false,7,soft suspense
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/362035__insintesi__sweet-suspense-1.mp3,true,true,false,true,true,6,"suspence, soft high pitches"
