URL,Format,Online,Description,Geographic Location,Timezone,Intensity [0-10],??
http://88.213.202.96:81/mjpg/video.mjpg,mjpg,TRUE,Internet café in Bulgaria,"Dulgopol, Bulgaria",2,6,
http://154.126.208.35/mjpg/video.mjpg,mjpg,TRUE,View on water,South Africa,2,1,
http://161.72.25.11/mjpg/video.mjpg,mjpg,TRUE,Observatory?,"La Laguna, Canary Islands",2,5,
http://182.52.113.22:81/mjpg/video.mjpg,mjpg,TRUE,Bridge,"Bangkok, Thailand",7,4,
http://165.234.49.199/mjpg/video.mjpg,mjpg,TRUE,Industry,"Bismarck, USA",-5,7,
http://141.212.37.40/mjpg/video.mjpg,mjpg,TRUE,Server room,"Michigan, Ann arbor, US",-5,3,
http://67.42.251.204/mjpg/video.mjpg,mjpg,TRUE,Dogs,"Salt lake city, US",-7,7,
http://109.188.138.7:8081/mjpg/video.mjpg,mjpg,,Construction site,?,?,6,
http://151.237.205.2:81/mjpg/video.mjpg,mjpg,,Office,"Benicarlo, Spain",1,6,
http://46.160.244.38/mjpg/video.mjpg,mjpg,,Building,"Moscow, Russia",3,4,
http://75.138.131.130:88/mjpg/video.mjpg,mjpg,,Dogs,"NC, US",-5,3,
http://173.200.27.210:82/mjpg/video.mjpg,mjpg,,Dogs,"Atlanta, US",-5,5,
http://89.233.245.254/mjpg/video.mjpg,mjpg,,Parking lot industrial,"Kalix, SE",0,2,
http://81.227.241.164:81/mjpg/video.mjpg,mjpg,,Beach,"Stockholm, SE",0,4,
http://88.206.147.145:8000/mjpg/video.mjpg,mjpg,,House/ parking,"Eslöv, SE",0,3,
http://89.236.60.37/mjpg/video.mjpg,mjpg,,parking house,"lund, SE",0,2,
http://95.128.118.30:9000/mjpg/video.mjpg,mjpg,,weird industry,"katrineholm, SE",0,1,
http://95.44.37.191:1024/mjpg/video.mjpg,mjpg,,church,"Cork, IR",0,4,
http://208.13.138.36/mjpg/video.mjpg,mjpg,,office,"Winter Park, US",-4,5,
http://141.84.11.4/mjpg/video.mjpg,mjpg,,swinging pendulum,"munchen, DE",0,3,
http://217.91.208.210/mjpg/video.mjpg,mjpg,,city square / fountain,"berlin, DE",0,6,
http://85.221.20.50/mjpg/video.mjpg,mjpg,,water front,"oslo, NO",0,5,
http://80.254.50.16/mjpg/video.mjpg,mjpg,,doors opening / entry way,"saint petersburg, RU",,8,
http://92.255.239.225/mjpg/video.mjpg,mjpg,,fast food,"kirov, RU",,7,
http://178.215.86.89:8080/?action=stream,,,stair,"Moscow, Russia",,4,
http://93.95.100.134/mjpg/video.mjpg,mjpg,,server room,"moscow, Russia",,3,
http://81.137.228.155:8080/mjpg/video.mjpg,mjpg,,back room warehouse,"westminister, england",,4,
http://80.94.102.230:8080/mjpg/video.mjpg,mjpg,,factory,"Monaco, Monaco",2,4,
http://81.22.21.155:8888/mjpg/quad/video.mjpg,mjpg,,company entrance,"Manama, Bahrain",3,7,
http://212.55.36.149:82/jpg/image.jpg,mjpg,,harbour,"Torshavn, Faroe Islands",1,3,
http://158.132.254.161:8082/?action=stream,mjpg,,"numbers, factory",Hong Kong,9,,
http://88.213.202.96:81/mjpg/video.mjpg,mjpg,,Internet café in Bulgaria,"Dulgopol, Bulgaria",2,6,
http://213.125.60.53/mjpg/video.mjpg,mjpg,,Suburb,Tilburg Netherlands,1,2,
http://www.ustream.tv/channel/17074538,,,ISS international space station,Space,,0,
http://www.ustream.tv/channel/17074538,,,ISS international space station,Space,,0,
https://www.ivideon.com/tv/camera/200-7f8fba277695f01054a3d5e0e8d1b7a2/65536/?lang=ru,,,Swimming pool,"Kemerovo, Russia",7,6,
https://www.ivideon.com/tv/camera/200-5e996925276447d0df1d82e3bf4accc2/65536/?lang=ru,,,Gym,"Kemerovo, Russia",7,6,
https://www.ivideon.com/tv/camera/200-7f8fba277695f01054a3d5e0e8d1b7a2/0/?lang=ru,,,Tennis court,"Kemerovo, Russia",7,5,
https://youtu.be/D8YHp37-tp0,,,Ka'ba haj,"Makkah, Saudi Arabia",3,9,
https://youtu.be/ArVmnth5jB4,,,Medina prayers,Media,3,9,
http://154.126.208.35/mjpg/video.mjpg,mjpg,,View on water,South Africa,2,1,
http://161.72.25.11/mjpg/video.mjpg,mjpg,,Observatory?,"La Laguna, Canary Islands",2,5,
http://182.52.113.22:81/mjpg/video.mjpg,mjpg,,Bridge,"Bangkok, Thailand",7,4,
http://80.152.244.238:8000/,,,Bridge,"Krefeld, Germany",2,3,
http://50.195.50.214:8082/,,,wind mill,"Boston,USA",-4,6,
http://165.234.49.199/mjpg/video.mjpg,mjpg,,Industry,"Bismarck, USA",-5,7,
http://212.37.103.50:82/,,,Industry,"Varnamo, Sweden",2,4,
http://141.212.37.40/mjpg/video.mjpg,mjpg,,Server room,"Michigan, Ann arbor, US",-5,3,
http://78.224.168.52:8080/mjpg/video.mjpg,mjpg,,Mall,"Poitou-Charentes, Niort, FR",1,2,
http://67.42.251.204/mjpg/video.mjpg,mjpg,,Dogs,"Salt lake city, US",-7,7,
http://109.188.138.7:8081/mjpg/video.mjpg,mjpg,,Construction site,?,0,6,
http://96.231.203.147/mjpg/video.mjpg,mjpg,,Construction site,"Washington, US",-5,6,
http://151.237.205.2:81/mjpg/video.mjpg,mjpg,,Office,"Benicarlo, Spain",1,6,
http://112.160.30.39:81/mjpg/video.mjpg,mjpg,,pipes,"Tsche-Mul-P-Ho, south korea",9,4,
http://87.125.121.58/mjpg/video.mjpg,mjpg,,restaurant,"Aldershot, England",0,6,
http://95.156.95.36:8080/mjpg/video.mjpg,mjpg,,Observatory,"Krasnoyarsk, Russia",7,5,
http://46.160.244.38/mjpg/video.mjpg,mjpg,,Building,"Moscow, Russia",3,4,
http://212.55.39.88:81/jpg/image.jpg,mjpg,,road,"Torshavn, Faroe Islands",1,5,
http://89.216.22.82:82/mjpg/video.mjpg,mjpg,,store,"Belgrade, Serbia",2,6,
http://109.206.97.194:8084/mjpg/video.mjpg,mjpg,,betting table,"Belgrade, Serbia",2,7,
http://109.206.101.50/mjpg/video.mjpg,mjpg,,busy street,"Belgrade, Serbia",2,8,
http://109.206.101.50/mjpg/video.mjpg,mjpg,,room ,"Belgrade, Serbia",2,2,
http://177.105.199.63:8080/videostream.cgi?user=admin&pwd=,,,spot,"Belem, Brazil",-3,1,
http://69.5.99.165:8080/?action=stream,,,machine,"Oregon city, USA",-8,6,
http://188.134.70.68/mjpg/video.mjpg,mjpg,,buildings,"saint petersburg, RU",4,7,
http://91.144.150.75:81/mjpg/video.mjpg,mjpg,,kitchen,"kirov, RU",4,5,
http://91.144.173.252/mjpg/video.mjpg,mjpg,,restaurant,"kirov, RU",4,6,
http://188.134.21.82/mjpg/video.mjpg,mjpg,,building,"saint petersburg, RU",4,3,
http://185.97.165.78/mjpg/video.mjpg,mjpg,,"harbour, industrial",antwerpen?,1,4,
http://88.200.161.211:8080/mjpg/video.mjpg,mjpg,,pills,"Pervomayskaya, RU",4,4,
http://81.211.119.196/mjpg/video.mjpg,mjpg,,factory,"Arkhangelsk, RU",4,4,
http://81.211.119.197/mjpg/video.mjpg,mjpg,,mailboxes,"Arkhangelsk, RU",4,1,
http://46.231.215.182:8083/mjpg/video.mjpg,mjpg,,building,"saint petersburg, RU",4,5,
http://87.239.28.70/mjpg/video.mjpg,mjpg,,Construction site,"Moscow, Russia",4,3,
http://89.28.252.214:8083/mjpg/video.mjpg,mjpg,,landscape,"Magadan, RU",12,4,
http://85.172.126.26:82/mjpg/video.mjpg,mjpg,,cars,"Sochi, RU",4,4,
http://195.70.201.30:8081/mjpg/video.mjpg,mjpg,,parking lot,"saint petersburg, RU",4,4,
http://82.137.178.29/mjpg/video.mjpg,mjpg,,Building,"Saratov, RU",4,4,
