URL,Online,Intimacy/personal 0-10,Geographic Location,Mood 0-10 (calm to excited),Visually Colorful 0-10,Format,Description,Timezone,Intensity [0-10],Camera proximity (0 faraway - 10 near),Interior,Iconic (yes/no)
http://88.213.202.96:81/mjpg/video.mjpg,FALSE,,"Dulgopol, Bulgaria",,,mjpg,Internet café in Bulgaria,2,6,5,TRUE,no
http://161.72.25.11/mjpg/video.mjpg,TRUE,1,"La Laguna, Canary Islands",5,5,mjpg,Observatory?,2,5,5,FALSE,yes
http://165.234.49.199/mjpg/video.mjpg,TRUE,1,"Bismarck, USA",3,3,mjpg,Industry,-5,7,8,TRUE,no
http://141.212.37.40/mjpg/video.mjpg,TRUE,5,"Michigan, Ann arbor, US",5,5,mjpg,Server room,-5,3,5,TRUE,no
http://67.42.251.204/mjpg/video.mjpg,TRUE,5,"Salt lake city, US",5,4,mjpg,Dogs,-7,7,5,TRUE,no
http://151.237.205.2:81/mjpg/video.mjpg,TRUE,5,"Benicarlo, Spain",5,6,mjpg,Office,1,6,5,TRUE,no
http://46.160.244.38/mjpg/video.mjpg,TRUE,1,"Moscow, Russia",3,3,mjpg,Building,3,4,2,TRUE,no
http://173.200.27.210:82/mjpg/video.mjpg,TRUE,5,"Atlanta, US",7,6,mjpg,Dogs,-5,5,5,TRUE,no
http://89.233.245.254/mjpg/video.mjpg,TRUE,1,"Kalix, SE",2,3,mjpg,Parking lot industrial,0,2,5,FALSE,no
http://88.206.147.145:8000/mjpg/video.mjpg,TRUE,2,"Eslöv, SE",5,4,mjpg,House/ parking,0,3,4,FALSE,no
http://95.128.118.30:9000/mjpg/video.mjpg,TRUE,2,"katrineholm, SE",4,5,mjpg,weird industry,0,1,6,TRUE,no
http://95.44.37.191:1024/mjpg/video.mjpg,TRUE,5,"Cork, IR",3,4,mjpg,church,0,4,3,TRUE,yes
http://141.84.11.4/mjpg/video.mjpg,TRUE,1,"munchen, DE",5,6,mjpg,swinging pendulum,0,3,8,TRUE,yes
http://80.254.50.16/mjpg/video.mjpg,TRUE,7,"saint petersburg, RU",8,7,mjpg,doors opening / entry way,,9,5,TRUE,
http://92.255.239.225/mjpg/video.mjpg,TRUE,8,"kirov, RU",8,8,mjpg,"fast food, people",,7,3,TRUE,no
http://93.95.100.134/mjpg/video.mjpg,FALSE,,"moscow, Russia",,4,mjpg,server room,,3,,TRUE,
http://81.137.228.155:8080/mjpg/video.mjpg,TRUE,6,"westminister, england",7,5,mjpg,back room warehouse,,4,5,TRUE,
http://80.94.102.230:8080/mjpg/video.mjpg,TRUE,4,"Monaco, Monaco",2,6,mjpg,factory,2,4,5,TRUE,no
http://81.22.21.155:8888/mjpg/quad/video.mjpg,TRUE,3,"Manama, Bahrain",3,,mjpg,company entrance,3,7,5,TRUE,
http://158.132.254.161:8082/?action=stream,TRUE,2,Hong Kong,3,7,mjpg,"numbers, factory",9,0,2,TRUE,yes
http://213.125.60.53/mjpg/video.mjpg,TRUE,5,Tilburg Netherlands,5,3,mjpg,Suburb,1,2,6,FALSE,
http://www.ustream.tv/channel/17074538,TRUE,,Space,,8,,ISS international space station,,0,10,FALSE,
http://www.ustream.tv/channel/17074538,TRUE,,Space,,8,,ISS international space station,,0,10,FALSE,
https://www.ivideon.com/tv/camera/200-7f8fba277695f01054a3d5e0e8d1b7a2/65536/?lang=ru,TRUE,7,"Kemerovo, Russia",6,6,,Swimming pool,7,6,7,FALSE,yes
https://www.ivideon.com/tv/camera/200-5e996925276447d0df1d82e3bf4accc2/65536/?lang=ru,TRUE,8,"Kemerovo, Russia",5,5,,Gym,7,6,6,TRUE,no
https://www.ivideon.com/tv/camera/200-7f8fba277695f01054a3d5e0e8d1b7a2/0/?lang=ru,TRUE,6,"Kemerovo, Russia",5,5,,Tennis court,7,5,6,TRUE,no
https://youtu.be/D8YHp37-tp0,TRUE,6,"Makkah, Saudi Arabia",7,9,,Ka'ba haj,3,9,9,FALSE,yes
http://80.152.244.238:8000,TRUE,2,"Krefeld, Germany",4,4,,Bridge,2,3,8,FALSE,no
http://50.195.50.214:8082/mjpg/video.mjpg?timestamp=1479507052539,TRUE,,"Boston,USA",,3,,wind mill,-4,6,,TRUE,yes
http://165.234.49.199/mjpg/video.mjpg,TRUE,1,"Bismarck, USA",5,8,mjpg,Industry,-5,7,3,TRUE,yes
http://141.212.37.40/mjpg/video.mjpg,TRUE,5,"Michigan, Ann arbor, US",5,5,mjpg,Server room,-5,3,5,TRUE,no
http://78.224.168.52:8080/mjpg/video.mjpg,TRUE,7,"Poitou-Charentes, Niort, FR",6,,mjpg,Mall,1,2,6,TRUE,
http://67.42.251.204/mjpg/video.mjpg,TRUE,,"Salt lake city, US",5,,mjpg,Dogs,-7,7,5,TRUE,no
http://96.231.203.147/mjpg/video.mjpg,TRUE,3,"Washington, US",4,,mjpg,Construction site,-5,6,9,FALSE,no
http://151.237.205.2:81/mjpg/video.mjpg,TRUE,6,"Benicarlo, Spain",7,,mjpg,Office,1,6,5,TRUE,
http://112.160.30.39:81/mjpg/video.mjpg,TRUE,2,"Tsche-Mul-P-Ho, south korea",2,,mjpg,pipes,9,4,4,TRUE,
http://95.156.95.36:8080/mjpg/video.mjpg,TRUE,1,"Krasnoyarsk, Russia",5,,mjpg,Observatory,7,5,9,FALSE,yes
http://46.160.244.38/mjpg/video.mjpg,TRUE,2,"Moscow, Russia",3,,mjpg,Building,3,4,10,FALSE,
http://212.55.39.88:81/jpg/image.jpg,TRUE,2,"Torshavn, Faroe Islands",5,,mjpg,road,1,5,10,FALSE,no
http://89.216.22.82:82/mjpg/video.mjpg,TRUE,5,"Belgrade, Serbia",6,,mjpg,store,2,6,5,TRUE,
http://109.206.97.194:8084/mjpg/video.mjpg,TRUE,6,"Belgrade, Serbia",2,,mjpg,betting table,2,7,5,TRUE,
http://109.206.101.50/mjpg/video.mjpg,TRUE,2,"Belgrade, Serbia",5,8,mjpg,busy street,2,8,9,FALSE,yes
http://42.144.200.118/mjpg/video.mjpg,TRUE,7,"Tokyo, Japan",8,1,mjpg,,,,,,
http://69.5.99.165:8080/?action=stream,TRUE,1,"Oregon city, USA",4,,,machine,-8,6,5,TRUE,
http://188.134.70.68/mjpg/video.mjpg,TRUE,2,"saint petersburg, RU",5,,mjpg,buildings,4,7,8,FALSE,
http://91.144.150.75:81/mjpg/video.mjpg,TRUE,4,"kirov, RU",4,,mjpg,kitchen,4,5,4,TRUE,
http://91.144.173.252/mjpg/video.mjpg,TRUE,,"kirov, RU",2,,mjpg,restaurant,4,6,1,TRUE,
http://188.134.21.82/mjpg/video.mjpg,TRUE,2,"saint petersburg, RU",5,,mjpg,building,4,3,9,FALSE,
http://185.97.165.78/mjpg/video.mjpg,TRUE,1,antwerpen?,5,,mjpg,"harbour, industrial",1,4,10,FALSE,
http://88.200.161.211:8080/mjpg/video.mjpg,TRUE,6,"Pervomayskaya, RU",3,,mjpg,pills,4,4,2,TRUE,
http://81.211.119.197/mjpg/video.mjpg,FALSE,,"Arkhangelsk, RU",,,mjpg,mailboxes,4,1,5,,
http://46.231.215.182:8083/mjpg/video.mjpg,FALSE,,"saint petersburg, RU",5,,mjpg,building,4,5,9,FALSE,
